294 2296
0 13 50
0 43 50
0 67 50
0 75 50
0 76 50
0 95 50
0 98 50
0 100 50
0 119 50
0 136 50
0 146 50
0 164 50
0 185 50
0 219 50
0 224 50
0 254 50
1 44 50
1 138 50
1 207 50
1 281 50
2 108 50
2 120 50
2 177 50
3 100 50
3 166 50
4 14 50
4 19 50
4 36 50
4 52 50
4 84 50
4 86 50
4 112 50
4 114 50
4 117 25
4 128 50
4 141 50
4 142 50
4 145 50
4 158 50
4 170 50
4 174 50
4 209 50
4 214 50
4 215 50
4 241 50
4 259 50
4 260 50
4 269 50
4 281 50
4 283 50
4 291 50
5 120 50
5 162 50
5 223 50
5 238 50
6 140 25
6 217 50
6 226 25
6 250 50
7 8 50
7 17 50
7 24 50
7 27 50
7 33 50
7 34 50
7 49 50
7 53 50
7 54 50
7 65 50
7 68 50
7 82 50
7 83 50
7 99 50
7 105 50
7 106 50
7 115 50
7 120 50
7 152 50
7 165 50
7 168 50
7 175 8
7 182 50
7 188 50
7 190 50
7 193 50
7 199 50
7 203 50
7 220 50
7 229 50
7 231 25
7 245 50
7 248 50
7 260 50
7 266 50
7 276 50
7 283 50
7 284 50
7 290 50
8 17 50
8 24 50
8 27 50
8 34 50
8 53 50
8 54 50
8 68 50
8 83 50
8 99 50
8 105 50
8 106 50
8 115 50
8 120 50
8 152 50
8 165 50
8 168 50
8 175 50
8 182 50
8 188 50
8 190 50
8 193 50
8 231 50
8 245 50
8 248 50
8 260 50
8 266 50
8 284 50
9 25 50
9 34 50
9 39 50
9 43 50
9 47 50
9 55 50
9 57 50
9 70 50
9 72 50
9 90 50
9 92 50
9 94 50
9 104 50
9 109 50
9 115 50
9 123 50
9 124 50
9 126 50
9 132 50
9 137 50
9 138 50
9 147 50
9 156 50
9 160 50
9 164 50
9 179 50
9 183 50
9 184 50
9 205 50
9 222 50
9 233 50
9 236 50
9 245 50
9 255 50
9 274 50
10 62 50
10 107 50
10 130 50
10 206 50
10 292 50
11 56 50
11 111 50
11 172 25
11 204 50
11 247 50
12 137 50
12 228 50
13 43 50
13 67 50
13 75 50
13 76 50
13 95 50
13 98 50
13 100 50
13 119 50
13 136 50
13 146 50
13 164 50
13 185 50
13 219 50
13 224 50
13 254 50
14 19 50
14 36 50
14 52 50
14 84 50
14 86 50
14 112 50
14 114 50
14 117 50
14 128 50
14 141 50
14 142 50
14 145 50
14 158 50
14 174 50
14 209 50
14 214 50
14 215 50
14 241 50
14 259 50
14 260 50
14 269 50
14 281 50
14 283 50
14 291 50
15 46 50
15 97 50
16 28 50
16 50 50
16 60 50
16 72 50
16 81 50
16 88 50
16 92 50
16 96 50
16 125 50
16 135 50
16 138 50
16 143 50
16 152 50
16 153 50
16 154 50
16 161 50
16 169 50
16 174 50
16 184 50
