334 2508
0 13 50
0 126 50
0 148 50
0 252 50
0 292 50
0 301 50
1 167 50
2 89 50
2 181 50
3 12 50
3 42 50
3 276 50
4 5 50
4 11 50
4 21 50
4 31 50
4 39 50
4 43 50
4 55 50
4 56 50
4 81 50
4 90 50
4 106 50
4 112 50
4 125 50
4 139 50
4 146 50
4 189 50
4 194 50
4 195 50
4 205 50
4 208 50
4 209 50
4 214 50
4 218 50
4 236 50
4 248 50
4 254 50
4 262 50
4 272 50
4 277 50
4 283 50
4 287 50
4 289 50
4 298 50
5 11 50
5 21 50
5 31 50
5 39 50
5 43 50
5 55 50
5 56 50
5 81 50
5 90 50
5 95 50
5 106 50
5 139 50
5 146 50
5 162 50
5 170 50
5 189 50
5 195 50
5 204 50
5 205 50
5 208 50
5 209 50
5 214 50
5 236 50
5 248 50
5 254 50
5 262 50
5 265 50
5 272 50
5 283 50
5 287 50
5 289 50
5 298 50
5 329 50
5 330 50
6 112 50
6 176 50
6 243 50
7 15 50
7 16 50
7 87 50
7 94 50
7 98 50
7 111 50
7 142 50
7 165 50
7 181 50
7 191 50
7 200 50
7 203 50
7 206 50
7 264 50
7 267 50
7 268 50
7 280 50
7 328 50
8 188 50
8 233 50
8 294 50
9 16 50
9 103 50
9 174 50
9 197 50
9 270 50
9 322 50
9 333 25
10 17 50
10 18 50
10 25 50
10 72 50
10 89 50
10 91 50
10 93 50
10 95 50
10 102 50
10 135 50
10 138 50
10 155 50
10 157 50
10 190 50
10 193 50
10 201 50
10 206 50
10 209 50
10 228 50
10 231 50
10 238 50
10 255 50
10 259 50
10 331 50
11 21 50
11 31 50
11 39 50
11 43 50
11 55 50
11 56 50
11 81 50
11 90 50
11 106 50
11 139 50
11 146 50
11 189 50
11 195 50
11 205 50
11 208 50
11 209 50
11 214 50
11 236 50
11 248 50
11 250 50
11 254 50
11 262 50
11 272 50
11 283 50
11 287 50
11 289 50
11 298 50
11 324 50
12 57 50
12 67 50
12 79 50
12 104 50
12 105 50
12 136 50
12 161 50
12 176 50
12 179 50
12 220 50
12 276 50
12 322 50
13 78 50
13 141 50
13 148 50
13 188 50
13 220 50
13 233 50
13 293 50
14 104 50
14 161 50
14 187 50
15 16 50
15 18 50
15 70 50
15 75 50
15 87 50
15 94 50
15 98 50
15 111 50
15 142 50
15 165 50
15 181 50
15 191 50
15 200 50
15 203 50
15 264 50
15 266 50
15 267 50
15 268 25
15 280 50
15 328 50
16 87 50
16 94 50
16 98 50
16 111 50
16 142 50
16 165 50
16 174 50
16 181 50
16 191 50
16 197 50
16 200 50
16 203 50
16 264 50
16 267 50
16 268 50
16 280 50
16 328 50
16 333 50
17 18 50
17 25 50
17 72 50
17 89 50
17 91 50
17 93 50
17 95 50
17 102 50
17 135 50
17 138 50
17 155 50
17 157 50
17 190 50
17 193 50
17 201 50
17 206 50
17 209 50
17 228 50
17 231 50
17 238 50
17 255 50
17 259 50
17 331 50
18 25 50
18 72 50
18 75 50
18 89 50
18 91 50
18 93 50
18 95 50
18 102 50
18 135 50
18 138 50
18 155 50
18 157 50
18 190 50
18 193 50
18 201 50
18 206 50
18 209 50
18 228 50
18 231 50
18 238 50
18 255 50
18 259 50
18 266 50
18 331 50
19 101 50
19 177 50
19 180 50
19 191 50
19 260 50
19 269 50
20 142 50
20 259 50
21 31 50
21 39 50
21 43 50
21 55 50
21 56 50
21 81 50
21 90 50
21 106 50
21 139 50
21 146 50
21 189 50
21 195 50
21 205 50
21 208 50
21 209 50
21 214 50
21 236 50
21 248 50
21 254 50
21 262 50
21 272 50
21 283 50
21 287 50
21 289 50
21 298 50
22 68 50
22 234 50
22 291 50
23 50 50
24 136 50
24 249 50
25 72 50
25 89 50
25 91 50
25 93 50
25 95 50
25 102 50
25 109 50
25 135 50
25 138 50
25 155 50
25 157 50
25 178 50
25 190 50
25 193 50
25 201 50
25 206 50
25 209 50
25 228 50
25 231 50
25 238 50
25 255 50
25 259 50
25 275 50
25 331 50
26 30 50
26 32 50
26 45 50
26 81 50
26 93 50
26 130 50
26 178 50
26 207 50
26 209 50
26 223 50
27 47 50
27 53 50
27 55 50
27 59 50
27 61 50
27 62 50
27 76 50
27 82 50
27 89 50
27 99 50
27 135 50
27 138 50
27 141 50
27 142 50
27 148 50
27 165 50
27 166 50
27 168 50
27 169 50
27 171 50
27 172 50
27 175 50
27 192 50
27 227 50
27 228 50
27 231 50
27 232 50
27 237 50
27 241 50
27 242 50
27 260 50
27 282 50
27 285 50
27 287 50
27 289 50
28 123 25
28 126 50
28 210 25
28 299 50
29 75 50
29 84 50
29 129 50
29 233 50
29 247 50
30 65 50
30 186 50
30 207 50
30 264 50
30 302 50
