456 1228
0 56 200
0 170 200
0 224 200
0 242 200
0 381 200
1 7 200
1 11 200
1 175 200
1 201 200
1 234 200
2 350 200
2 388 200
3 78 200
3 87 200
3 115 200
3 142 200
3 148 200
3 154 200
3 186 200
3 206 20
3 216 100
3 325 200
3 375 40
3 400 9
3 441 200
4 35 200
4 112 200
4 235 200
4 267 200
4 283 200
4 337 200
5 360 200
6 207 200
6 273 200
6 382 100
6 383 200
6 391 200
6 403 200
6 417 200
6 454 200
7 38 200
7 155 200
7 172 200
7 234 100
7 262 200
7 295 200
7 299 200
7 341 200
7 430 200
7 447 200
8 196 200
9 43 200
9 101 200
9 132 200
9 135 200
9 194 200
9 284 200
9 384 200
10 15 200
11 13 200
11 58 200
11 227 200
11 271 200
11 288 200
11 374 200
11 398 200
11 424 200
11 439 200
11 447 200
12 40 200
12 229 200
12 231 200
12 320 200
12 391 200
14 157 200
14 225 13
15 144 200
15 262 200
15 301 200
15 335 200
15 338 200
16 451 200
17 107 200
17 211 200
17 221 200
17 238 200
17 258 200
17 303 200
18 382 200
18 388 200
19 85 200
19 172 200
19 291 200
19 379 200
19 380 200
20 113 200
20 146 200
20 162 40
20 211 200
20 274 200
20 277 200
20 285 200
20 303 200
20 435 200
21 199 200
21 402 200
22 67 200
22 93 200
22 123 200
22 369 200
22 405 200
23 112 200
23 218 200
23 249 9
23 251 200
23 377 200
23 412 200
24 112 200
24 187 100
24 191 200
24 200 200
24 349 200
24 360 200
24 377 200
25 179 200
25 265 200
25 310 200
25 368 200
25 403 200
25 454 200
26 210 100
26 231 200
26 299 200
26 358 200
26 418 200
27 52 200
27 60 200
27 134 200
27 136 200
27 179 200
27 210 200
27 317 200
27 393 200
27 408 200
27 409 200
27 447 200
28 88 200
28 177 13
28 238 200
28 261 200
28 354 200
29 283 200
29 315 200
29 338 200
29 401 200
30 202 200
30 261 200
31 66 200
31 148 200
31 161 200
31 319 200
31 325 200
31 390 200
32 43 100
32 126 200
32 185 200
32 206 200
32 266 200
32 268 200
32 304 100
32 332 200
32 415 200
32 425 200
32 441 200
32 443 200
33 73 200
33 80 200
33 120 200
33 357 200
33 371 200
34 333 200
35 235 200
36 55 200
36 78 100
36 101 200
36 119 200
36 268 200
36 375 200
37 41 200
37 210 200
37 296 200
37 301 200
37 338 200
38 58 200
38 85 200
38 262 200
38 380 200
38 383 200
38 393 200
38 405 200
38 411 200
38 429 200
38 447 200
39 111 20
40 42 100
40 64 200
40 82 200
40 98 200
40 147 200
40 150 200
40 279 200
40 292 200
40 331 200
40 380 200
40 401 200
41 99 200
42 75 200
42 99 200
42 136 200
42 147 200
42 192 20
42 231 200
42 279 200
42 292 200
42 293 200
42 317 100
42 330 200
42 380 66
42 383 200
42 447 200
42 454 100
43 101 200
43 135 200
43 167 200
43 181 200
43 193 200
43 194 100
43 206 200
43 304 200
43 341 200
43 373 100
43 384 200
43 400 200
43 407 200
43 415 200
43 443 200
44 146 200
44 247 200
44 259 200
44 311 200
44 354 200
44 381 200
44 434 200
45 135 200
45 142 200
45 156 200
45 204 200
45 266 200
45 275 200
45 305 200
45 373 200
45 387 100
45 425 200
46 181 100
47 171 13
48 319 40
48 342 200
48 366 200
48 426 20
49 71 200
49 107 200
49 113 200
49 125 200
49 127 200
49 222 200
49 224 200
49 226 200
49 247 200
49 258 200
49 274 200
49 277 200
49 327 200
49 389 200
49 395 200
49 422 200
49 448 200
50 243 200
51 332 200
51 390 200
52 133 200
52 144 200
52 183 200
52 312 200
52 429 200
53 142 200
53 185 200
54 66 200
54 142 200
54 304 100
54 319 200
54 342 100
54 390 200
54 425 200
54 443 200
54 452 18
55 78 200
55 91 200
55 101 200
55 115 200
55 119 100
55 135 13
55 161 200
55 163 200
55 186 200
55 194 200
55 319 100
55 342 200
55 384 200
55 387 200
55 441 200
56 381 200
57 134 200
57 210 40
57 227 200
57 256 200
57 376 100
58 232 200
58 288 200
58 312 200
58 338 200
59 293 200
59 326 200
59 341 200
60 134 200
60 136 200
60 141 33
60 189 11
60 299 200
60 317 200
60 353 200
60 391 200
61 200 200
61 218 20
61 235 200
61 442 200
62 64 200
63 76 200
63 149 200
63 358 200
64 150 200
64 291 200
65 103 200
66 142 200
66 161 200
66 167 200
66 268 200
66 366 200
66 386 200
66 390 200
67 405 200
68 136 200
68 263 200
69 74 200
69 81 200
69 96 200
69 222 200
69 238 200
69 352 200
70 140 200
70 228 200
70 272 200
70 419 200
71 164 40
71 294 200
71 422 40
71 448 200
72 246 200
72 368 100
72 402 100
72 449 200
73 124 200
73 396 16
74 81 200
74 238 200
74 297 200
75 100 200
75 183 200
75 330 200
76 358 200
77 111 200
77 190 40
78 101 200
78 119 66
78 216 200
78 356 200
78 373 200
78 375 200
78 387 200
78 404 200
78 441 200
79 169 100
79 281 200
79 450 200
80 110 200
80 237 200
80 437 200
81 113 200
81 177 200
81 224 200
81 238 200
81 428 200
82 338 200
82 391 200
83 274 200
83 451 200
84 105 100
84 219 200
84 297 200
84 451 200
85 108 200
85 359 200
85 393 200
86 98 200
86 100 200
86 236 200
86 340 200
88 127 200
88 221 200
88 222 200
88 277 200
88 289 200
88 434 200
88 451 200
89 245 200
89 281 200
90 152 200
91 156 200
91 161 200
91 167 200
91 194 200
91 325 200
91 356 200
91 387 200
91 404 200
91 415 200
91 443 200
92 190 13
92 392 200
93 98 66
93 123 200
93 144 200
93 229 200
93 234 200
94 128 200
94 134 40
94 138 40
94 263 200
94 265 33
94 330 200
94 338 200
94 341 200
94 391 40
94 418 200
94 430 40
94 432 40
95 151 200
95 367 200
97 351 200
97 372 200
98 279 200
98 301 200
98 331 200
98 380 40
99 383 200
100 144 200
100 210 200
100 320 200
100 401 100
101 119 200
101 132 100
101 135 200
101 194 200
101 204 200
101 214 200
101 384 200
101 415 200
101 443 200
102 183 200
102 320 200
103 150 200
104 131 200
105 107 200
105 162 200
105 208 200
105 213 200
105 297 200
105 451 200
106 324 200
107 127 200
107 162 200
107 174 200
107 213 200
107 221 200
107 222 200
107 226 200
107 238 200
107 258 200
107 339 200
107 389 200
108 184 40
108 229 40
108 359 200
108 401 200
109 133 200
109 159 200
109 265 40
109 269 200
110 124 100
110 128 200
110 166 200
110 178 200
110 217 200
110 237 100
110 240 200
110 243 200
110 370 200
110 437 100
111 333 200
112 158 200
112 187 200
112 200 200
112 249 200
112 283 200
112 337 200
112 360 200
113 117 200
113 202 200
113 211 200
113 221 200
113 224 100
113 226 200
113 258 200
113 259 200
113 274 200
113 277 66
113 297 200
113 316 200
113 327 66
113 357 200
113 428 200
113 434 200
113 435 100
114 142 200
114 415 200
115 132 200
115 142 200
115 148 200
115 163 200
115 186 200
115 204 200
115 216 200
115 284 200
115 305 200
115 384 200
115 441 200
115 455 200
116 177 200
117 327 200
118 263 200
119 194 200
119 319 200
119 373 200
119 387 200
119 404 100
119 441 200
120 178 18
120 252 200
121 168 200
122 259 200
122 322 14
122 444 25
123 141 200
123 269 200
123 320 200
123 391 200
124 252 200
124 280 200
124 363 200
124 370 200
124 371 200
124 396 200
125 152 200
125 176 200
125 188 200
125 220 40
125 226 200
125 247 200
125 274 200
125 395 200
125 422 200
126 268 200
126 304 200
127 170 100
127 188 200
127 202 100
127 211 200
127 224 66
127 226 200
127 277 50
127 316 200
127 434 100
128 168 200
128 178 200
128 371 200
129 137 40
129 139 200
129 245 200
129 246 200
129 436 200
130 214 200
130 345 200
130 356 200
130 373 200
131 168 200
131 240 200
131 243 200
132 204 200
132 455 200
133 144 200
133 262 200
134 136 200
134 138 40
134 265 40
134 317 200
134 335 200
134 432 40
135 148 200
135 156 200
135 193 200
135 194 200
135 204 200
135 214 100
135 384 200
135 425 200
135 443 200
136 317 200
136 328 200
136 338 200
136 374 200
136 383 200
136 432 200
138 227 200
138 229 200
138 265 40
138 323 200
138 369 100
138 432 40
139 169 200
139 171 200
139 197 200
140 228 200
140 419 200
141 150 200
141 189 28
141 348 200
142 148 200
142 185 200
142 186 200
142 193 200
142 216 200
142 266 200
142 375 200
142 387 200
142 425 200
143 451 200
144 155 200
144 207 200
144 301 200
144 401 100
145 198 200
145 249 100
