355 2783
0 11 50
0 17 50
0 27 50
0 29 50
0 41 50
0 45 50
0 46 50
0 53 50
0 65 50
0 67 50
0 71 50
0 73 50
0 76 50
0 80 50
0 96 50
0 101 50
0 111 50
0 112 50
0 119 50
0 134 50
0 141 50
0 142 50
0 147 50
0 153 50
0 155 50
0 174 50
0 184 50
0 186 50
0 188 50
0 189 50
0 201 50
0 202 50
0 206 50
0 212 50
0 217 50
0 226 50
0 232 50
0 242 50
0 256 50
0 267 50
0 289 50
0 293 50
0 297 50
0 304 50
0 308 50
0 319 50
0 320 50
0 322 50
0 326 50
0 333 50
0 349 50
0 352 50
1 132 50
1 298 50
1 338 50
2 81 50
2 129 50
2 221 50
2 288 50
2 303 50
2 319 50
3 25 50
3 296 50
4 8 50
4 33 50
4 67 50
4 71 50
4 77 50
4 78 50
4 85 50
4 90 50
4 91 50
4 106 50
4 114 50
4 126 50
4 150 50
4 157 50
4 161 50
4 171 50
4 181 50
4 192 50
4 203 50
4 208 50
4 211 50
4 212 50
4 221 50
4 243 50
4 248 50
4 252 50
4 268 50
4 274 50
4 282 50
4 286 50
4 287 50
4 306 50
4 308 50
4 310 50
4 311 50
4 320 50
4 323 50
4 347 50
5 84 50
5 105 25
5 116 50
5 167 50
5 227 50
5 237 50
6 178 25
6 183 50
6 203 50
6 268 50
7 12 50
7 13 50
7 20 50
7 37 50
7 45 50
7 48 50
7 54 50
7 70 50
7 83 50
7 98 50
7 117 50
7 125 50
7 126 50
7 154 50
7 157 50
7 159 50
7 213 50
7 223 50
7 239 50
7 257 50
7 259 50
7 264 50
7 277 50
7 278 50
7 287 50
7 294 50
7 300 50
7 325 50
7 333 50
7 335 50
8 33 50
8 67 50
8 71 50
8 77 50
8 78 50
8 85 50
8 90 50
8 91 50
8 106 50
8 114 50
8 126 50
8 150 50
8 157 50
8 161 50
8 171 50
8 181 50
8 192 50
8 203 50
8 208 50
8 211 50
8 212 50
8 221 50
8 243 50
8 248 50
8 252 50
8 268 50
8 274 50
8 282 50
8 286 50
8 287 50
8 306 50
8 308 50
8 310 50
8 311 50
8 320 50
8 323 50
8 347 50
9 128 50
9 140 50
9 164 50
9 165 50
9 190 50
9 233 50
9 261 50
9 292 50
9 330 50
10 18 50
10 22 50
10 47 50
10 53 50
10 118 50
10 170 50
10 171 50
10 206 50
10 255 50
10 261 50
10 285 50
11 17 50
11 27 50
11 29 50
11 41 50
11 47 50
11 53 50
11 73 50
11 76 50
11 80 50
11 82 50
11 101 50
11 120 50
11 134 50
11 142 50
11 147 50
11 153 50
11 154 50
11 155 50
11 186 50
11 188 50
11 206 50
11 215 50
11 217 50
11 226 50
11 227 50
11 259 50
11 267 50
11 277 50
11 291 50
11 304 50
11 305 50
11 319 50
11 322 50
11 328 50
11 330 50
11 333 50
11 349 50
11 352 50
12 13 50
12 20 50
12 37 50
12 45 50
12 48 50
12 54 50
12 70 50
12 83 50
12 98 50
12 117 50
12 125 50
12 126 50
12 154 50
12 157 50
12 159 50
12 213 50
12 223 50
12 239 50
12 257 50
12 259 50
12 264 50
12 265 50
12 277 50
12 278 50
12 287 50
12 294 50
12 300 50
12 325 50
12 333 50
12 335 50
12 338 50
13 20 50
13 29 50
13 37 50
13 45 50
13 48 50
13 54 50
13 70 50
13 83 50
13 98 50
13 117 50
13 125 50
13 126 50
13 154 50
13 157 50
13 159 50
13 213 50
13 223 50
13 239 50
13 257 50
13 259 50
13 264 50
13 277 50
13 278 50
13 287 50
13 294 50
13 300 50
13 325 50
13 333 50
13 335 50
14 34 50
14 45 50
14 57 50
14 68 50
14 95 50
14 99 50
14 145 50
14 194 50
14 234 50
15 23 50
15 25 50
15 69 50
15 74 50
15 75 50
15 82 50
15 85 50
15 86 50
15 127 50
15 139 50
15 173 50
15 191 50
15 207 50
15 222 50
15 269 50
15 280 50
15 309 50
15 323 50
15 347 50
16 44 25
16 50 25
16 69 50
16 114 50
16 122 50
16 307 50
16 341 50
17 27 50
17 29 50
17 41 50
17 53 50
17 73 50
17 76 50
17 80 50
17 94 50
17 101 50
17 134 25
17 142 50
17 147 50
17 153 50
17 155 50
17 186 50
17 188 50
17 206 50
17 217 50
17 226 50
17 267 50
17 304 50
17 319 50
17 322 50
17 333 50
17 349 50
17 352 50
18 53 50
18 118 50
18 206 50
18 261 50
18 276 50
18 302 50
19 99 50
19 160 50
19 204 50
19 279 50
19 334 50
19 336 50
20 37 50
20 45 50
20 48 50
20 54 50
20 70 50
20 83 50
20 98 50
20 117 50
20 125 50
20 126 50
20 154 50
20 157 50
20 159 50
20 213 50
20 223 50
20 239 50
20 257 50
20 259 50
20 264 50
20 277 50
20 278 50
20 287 50
20 294 50
20 300 50
20 325 50
20 333 50
20 335 50
21 24 50
21 48 50
21 64 50
21 137 50
21 144 50
21 154 50
21 158 50
21 182 50
21 240 50
21 245 50
21 249 50
21 259 50
21 292 50
21 351 50
22 47 50
22 170 50
